original_path,source_category,assigned_category,new_path,status,duplicate_of,width,height,bytes
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeopera2016--129beea877.png,cakes,cakes,cakes/opera-cake.png,canonical,,640,480,46984
images/labaguettedenormandy.com/wp-content/gallery/cakes/Peach--e38b9fad60.jpg,cakes,cakes,cakes/peach-cake.jpg,canonical,,1365,1024,335706
images/labaguettedenormandy.com/wp-content/gallery/cakes/poirebellehelene--22dd210c9d.jpg,cakes,cakes,cakes/poire-belle-helene-cake.jpg,canonical,,640,481,33580
images/labaguettedenormandy.com/wp-content/gallery/buches/Praline-Buche--4fdc877681.jpg,buches,cakes,cakes/praline-buche.jpg,canonical,,1080,810,199676
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeraspberry2016--04abe77ce7.png,cakes,cakes,cakes/raspberry-cake.png,canonical,,640,480,39616
images/labaguettedenormandy.com/wp-content/gallery/cakes/raspberrydelightcake--56e247f1fc.png,cakes,cakes,cakes/raspberry-delight-cake.png,canonical,,640,480,65626
images/labaguettedenormandy.com/wp-content/gallery/buches/Rocky-Mountain--3ba8af3a92.jpg,buches,cakes,cakes/rocky-mountain.jpg,canonical,,4032,3024,486520
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeroyal2016--63056bb3cf.png,cakes,cakes,cakes/royal-cake.png,canonical,,640,480,207628
images/labaguettedenormandy.com/wp-content/gallery/cakes/saint-honore--54f1e28d62.jpg,cakes,cakes,cakes/saint-honore.jpg,canonical,,640,480,41658
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Strawberry-cake-6p--467d84b06e.jpg,daily-choice,cakes,cakes/strawberry-cake-6p.jpg,canonical,,1080,810,179922
images/labaguettedenormandy.com/wp-content/gallery/cakes/caketroischocolates2016--8aa6bbf5c5.png,cakes,cakes,cakes/three-chocolate-cake.png,canonical,,640,480,43400
images/labaguettedenormandy.com/wp-content/gallery/buches/Vanilla-buche--c9d313f7a8.jpg,buches,cakes,cakes/vanilla-buche.jpg,canonical,,1080,810,173362
images/labaguettedenormandy.com/wp-content/gallery/buches/100-0029_IMG--8c3d436d4b.jpg,buches,cakes,cakes/white-chocolate-buche.jpg,canonical,,640,480,41962
images/labaguettedenormandy.com/wp-content/gallery/buches/White-Strawberry-Buche--461a82b4a8.jpg,buches,cakes,cakes/white-strawberry-buche.jpg,canonical,,1080,810,178167
images/labaguettedenormandy.com/wp-content/gallery/crepes/banana-split-crepe--68950264f6.jpg,crepes,crepes,crepes/banana-split-crepe.jpg,canonical,,4032,3024,962504
images/labaguettedenormandy.com/wp-content/gallery/crepes/Breakfast-crepe--9b1413c2f0.jpg,crepes,crepes,crepes/breakfast-crepe.jpg,canonical,,1080,810,91708
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepe2-640--cee91e1042.png,crepes,crepes,crepes/chocolate-almond-crepe.png,canonical,,640,480,31572
images/labaguettedenormandy.com/wp-content/gallery/crepes/display-only2--0e03abf02a.jpg,crepes,crepes,crepes/chocolate-dessert-crepe.jpg,canonical,,1120,900,140308
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepe-maison--35013c1b2e.jpg,crepes,crepes,crepes/crepe-maison.jpg,canonical,,4032,3024,639896
